lat,lon,site,b,mean
329825,4305565,AB-C,0.000463,0.548423
329995,4305715,AB-F,0.109422,0.214766
329885,4305495,AB-R,0.14363,0.368939
324575,4315675,BB-R,0.005428,0.678628
322745,4303555,CC-F,0.063094,0.354339
322605,4303625,CC-R,0.012446,0.262646
336735,4307625,DC-F,0.150199,0.361122
336555,4307485,DC-R,0.092293,0.382942
323865,4314755,EL-C,0.089998,0.379754
323845,4314855,EL-R,0.16165,0.512737
334125,4303925,ER-C,0.196749,0.61573
334125,4304015,ER-F,0.325437,0.417267
334175,4303965,ER-R,0.150733,0.372646
341665,4287695,JC-R,0.10515,0.19374
328155,4314245,JF-C,0.103732,0.269601
328125,4314205,JF-F,0.053155,0.305044
328205,4314265,JF-R,0.022851,0.190424
325555,4308145,LT-C,0.027275,0.484425
325565,4308415,LT-F,0.218204,0.371425
325645,4308235,LT-R,0.033893,0.220943
339825,4300015,MC-C,0.006775,0.658596
339735,4299855,MC-F,0.058917,0.417874
339805,4300115,MC-R,0.000216,0.361683
320965,4317585,PD-R,0.012521,0.223865
321195,4315175,PG-R,0.054231,0.333437
322675,4315925,SB-F,0.065005,0.463588
322465,4315925,SB-R,0.009681,0.508263
335465,4305115,SH-F,0.072795,0.277642
335375,4305295,SH-R,0.158963,0.211087
329925,4310015,SN-R,0.167963,0.169365
324055,4319315,SP-C,0.031658,0.456209
323695,4319595,SP-F,0.124357,0.523422
324205,4319455,SP-R,0.00986,0.384399
325805,4311245,SR-R,0.007766,0.248891
328865,4316095,VB-R,0.013279,0.523763
328845,4316025,VB-F,0.000031,0.731993